Reference,Value,Side,X_mm,Y_mm,Rotation_deg,DNP,3D_models
C57,100u low-ESR,Bottom,107.2250,131.5000,0.00,no,1
C58,100u low-ESR,Bottom,110.7250,131.5000,0.00,no,1
C59,22u 25V,Bottom,107.2250,133.5000,0.00,no,1
C6,100n,Bottom,224.2750,110.0000,0.00,no,1
C60,22u 25V,Bottom,110.7250,133.5000,0.00,no,1
C61,100n JACK MIC,Top,122.0200,123.0000,0.00,no,1
C62,47u HP LEFT,Top,121.7250,118.0000,0.00,no,1
C63,47u HP RIGHT,Top,114.7250,117.5000,0.00,no,1
C64,4.7u 10V,Bottom,121.7250,97.5000,0.00,no,1
C65,10u 6.3V,Bottom,121.7250,99.5000,0.00,no,1
C66,10u 6.3V,Bottom,121.7250,101.5000,0.00,no,1
C67,120p C0G,Bottom,132.9800,101.5000,0.00,no,1
C68,100n USB3 RESET,Top,183.0200,116.5000,0.00,no,1
C7,330p,Bottom,199.7750,99.5000,0.00,no,1
C8,330p,Bottom,200.5000,101.4000,0.00,no,1
C9,10u,Bottom,203.2750,99.5000,0.00,no,1
D1,TVS2200DRVR,Top,118.6125,112.8500,0.00,no,1
D11,TJ-S3227 RGB COMMON ANODE C601674,Top,233.7000,111.0000,0.00,no,1
D201,DFLS160-7,Bottom,233.5000,123.0000,90.00,no,1
FB1,600R@100MHz ferrite,Top,181.5000,123.5000,0.00,no,1
FB2011,600R@100MHz,Top,137.2875,114.5000,0.00,no,1
FB2012,600R@100MHz,Top,140.7875,115.0000,0.00,no,1
FB2013,600R@100MHz,Top,137.2875,116.5000,0.00,no,1
FB2014,600R@100MHz,Top,140.7875,117.0000,0.00,no,1
FB2015,600R@100MHz,Top,137.2875,118.5000,0.00,no,1
FB2016,600R@100MHz,Top,140.7875,119.0000,0.00,no,1
FB2017,600R@100MHz,Top,137.2875,120.5000,0.00,no,1
FB2021,600R@100MHz,Top,175.9000,101.0000,0.00,no,1
FB2022,600R@100MHz,Top,179.2125,101.0000,0.00,no,1
FB2023,600R@100MHz,Top,175.9000,102.7125,0.00,no,1
FB2024,600R@100MHz,Top,179.2125,102.7125,0.00,no,1
FB2025,600R@100MHz,Top,175.9000,104.5000,0.00,no,1
FB2026,600R@100MHz,Top,179.2125,104.5000,0.00,no,1
FB2027,600R@100MHz,Top,176.2125,110.0000,0.00,no,1
J1,SJ-43514-SMT-TR,Top,128.5000,128.0000,90.00,no,1
J10,PROX SENSOR - SM05B-SURS-TF,Top,159.5000,122.5000,180.00,no,1
J11,BM28B0.6-20DS/2-0.35V BUTTON FLEX,Top,230.2250,98.5000,90.00,no,1
J2,BM28 BATTERY FLEX 5A + NTC/ID,Top,230.2250,126.5000,90.00,no,1
J201,J_DISPLAY_LEFT 245863050104829+,Top,125.3500,103.7300,0.00,no,1
J202,J_DISPLAY_RIGHT 245863050104829+,Top,212.4500,103.7300,180.00,no,1
